ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Ageminyears,Agecat,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,TPP,TPPcntr,TPPcntr2,HL_original,Log10HL_original,Log10HL_original_cntr,Log10HL_original_cntr2,HLAllOlyas,Log10HLAllOlyas,Log10HLAllOlyas_cntr,Log10HLAllOlyas_cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,PC3,PC3sq,BinomialFledged
149,026-60016,3(2008-09),31-Mar-09,5:42,7:42,120,1,M,L,1,1Y,0.46,-0.020429,0.000417,46,-2,4,173,-3,9,17.3,-0.3,0.09,4.5,-0.4479,0.200576,0.223684,-0.650365,-0.429803,0.184731,0.538462,-0.268845,-0.063473,0.004029,9.37,-0.7394,0.5467,2,0.25,0.0643,1,-0.94,0.8756,0.484981,0.235206,0.453986,0.206104,-1.287804,1.658439,0
151,026-60016,4(2009-10),3-Mar-10,5:35,10:50,315,1,M,I,2,A1Y,0.48,-0.000429,0,48,0,0,165,-11,121,16.5,-1.1,1.21,4,-0.9479,0.898433,1.222222,0.08715,0.307712,0.094687,1.222222,0.08715,0.292522,0.085569,9.48,-0.6276,0.3939,2,0.25,0.0643,3,1.06,1.1327,0.286102,0.081855,1.017997,1.036319,-0.114516,0.013114,1
152,026-60024,4(2009-10),19-Feb-10,5:31,5:32,1,0,F,N,2,A1Y,0.47,-0.010429,0.000109,47,-1,1,173,-3,9,17.3,-0.3,0.09,4.5,-0.4479,0.200576,0.724138,-0.140179,0.080383,0.006461,0.724138,-0.140179,0.065193,0.00425,9.48,-0.6276,0.3939,2,0.25,0.0643,3,1.06,1.1327,0.126404,0.015978,0.45007,0.202563,0.058386,0.003409,0
154,026-60039,4(2009-10),23-Dec-09,4:59,8:21,202,0,F,pre,3,A1Y,0.465,-0.015429,0.000238,46.5,-1.5,2.25,184,8,64,18.4,0.8,0.64,6.2,1.2521,1.567862,0.612903,-0.212608,0.007954,0.000063,0.612903,-0.212608,-0.007236,0.000052,10.18,0.0711,0.0051,2,0.25,0.0643,4,2.06,4.2613,-1.077227,1.160417,-0.789442,0.623219,1.653701,2.734726,1
155,026-60046,3(2008-09),5-Mar-09,6:36,9:09,153,1,M,I,1,1Y,0.49,0.009571,0.000092,49,1,1,175,-1,1,17.5,-0.1,0.01,5.1,0.1521,0.023147,0.234568,-0.629731,-0.40917,0.16742,0.234568,-0.629731,-0.424359,0.180081,10.07,-0.039,0.0015,1.5,-0.25,0.0607,3,1.06,1.1327,-0.321809,0.103561,-0.516798,0.26708,0.554692,0.307683,1
157,026-60055,3(2008-09),11-Mar-09,6:37,7:14,37,0,F,L,2,A1Y,0.5,0.019571,0.000383,50,2,4,167,-9,81,16.7,-0.9,0.81,6.4,1.4521,2.108719,0.2375,-0.624336,-0.403775,0.163034,0.2375,-0.624336,-0.418964,0.175531,10.41,0.3019,0.0911,1.5,-0.25,0.0607,0,-1.94,3.747,-0.627452,0.393696,-0.8931,0.797627,-0.656679,0.431227,0
160,026-60055,4(2009-10),19-Dec-09,4:57,6:55,118,0,F,pre,3,A1Y,0.46,-0.020429,0.000417,46,-2,4,177,1,1,17.7,0.1,0.01,5.7,0.7521,0.565719,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,9.12,-0.9899,0.9799,1.5,-0.25,0.0607,2,0.06,0.0041,-0.364807,0.133084,1.06175,1.127312,0.310653,0.096505,1
161,026-60147,4(2009-10),28-Apr-10,5:48,6:09,21,1,M,post,1,1Y,0.48,-0.000429,0,48,0,0,169,-7,49,16.9,-0.7,0.49,5.1,0.1521,0.023147,0.388889,-0.410174,-0.189613,0.035953,0.388889,-0.410174,-0.204802,0.041944,10.27,0.1565,0.0245,2,0.25,0.0643,2,0.06,0.0041,-0.332108,0.110296,-0.648993,0.421193,-0.365908,0.133889,0
162,026-60325,4(2009-10),27-Apr-10,5:47,8:20,153,1,M,post,2,A1Y,0.51,0.029571,0.000874,51,3,9,186,10,100,18.6,1,1,4.6,-0.3479,0.121005,0.960784,-0.017374,0.203188,0.041285,0.960784,-0.017374,0.187998,0.035343,9.92,-0.1878,0.0353,2,0.25,0.0643,1,-0.94,0.8756,1.414527,2.000886,0.033502,0.001122,-0.154121,0.023753,0
163,026-60369,4(2009-10),4-May-10,5:49,7:40,111,0,F,post,2,A1Y,0.56,0.079571,0.006332,56,8,64,202,26,676,20.2,2.6,6.76,4.6,-0.3479,0.121005,1.173913,0.069636,0.290198,0.084215,1.173913,0.069636,0.275008,0.075629,10.67,0.5627,0.3166,2,0.25,0.0643,2,0.06,0.0041,2.17428,4.727492,-0.855367,0.731653,1.488871,2.216738,0
164,026-65155,3(2008-09),14-Apr-09,5:44,5:46,2,0,F,L,1,1Y,0.4,-0.080429,0.006469,40,-8,64,151,-25,625,15.1,-2.5,6.25,6.8,1.8521,3.430433,0.230769,-0.636822,-0.41626,0.173273,0.162791,-0.78837,-0.582998,0.339887,11.38,1.2689,1.6101,1.5,-0.25,0.0607,2.5,0.56,0.3184,-4.030501,16.244936,-1.388729,1.928568,-0.487349,0.237509,0
165,026-65229,3(2008-09),21-Apr-09,5:46,8:18,152,0,F,N,1,1Y,0.54,0.059571,0.003549,54,6,36,198,22,484,19.8,2.2,4.84,4.5,-0.4479,0.200576,0.460317,-0.336943,-0.116381,0.013545,0.460317,-0.336943,-0.131571,0.017311,10.07,-0.039,0.0015,1,-0.75,0.5572,2,0.06,0.0041,1.62659,2.645796,0.131737,0.017355,1.317512,1.735838,1
166,026-65242,3(2008-09),21-Apr-09,5:46,5:43,-3,1,M,N,1,1Y,0.57,0.089571,0.008023,57,9,81,211,35,1225,21.1,3.5,12.25,5.4,0.4521,0.204433,0.461538,-0.335792,-0.11523,0.013278,0.461538,-0.335792,-0.13042,0.017009,9.5,-0.6135,0.3764,2,0.25,0.0643,1,-0.94,0.8756,2.987798,8.926936,-1.011529,1.02319,1.189947,1.415974,1
167,026-65243,3(2008-09),16-Apr-09,5:45,8:32,167,1,M,N,1,1Y,0.47,-0.010429,0.000109,47,-1,1,183,7,49,18.3,0.7,0.49,4.1,-0.8479,0.718862,2.84,0.453318,0.67388,0.454114,2.84,0.453318,0.65869,0.433873,9.11,-0.9996,0.9992,1.5,-0.25,0.0607,0,-1.94,3.747,1.367902,1.871155,2.294571,5.265057,-0.898746,0.807745,1
168,026-65320,4(2009-10),27-Mar-10,5:41,8:26,165,1,M,L,1,1Y,0.48,-0.000429,0,48,0,0,172,-4,16,17.2,-0.4,0.16,4.7,-0.2479,0.061433,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,9.61,-0.499,0.249,2,0.25,0.0643,0,-1.94,3.747,0.773827,0.598808,0.228895,0.052393,-1.558666,2.429439,1
170,026-67701,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,2,A1Y,0.48,-0.000429,0,48,0,0,155,-21,441,15.5,-2.1,4.41,4.6,-0.3479,0.121005,1.040816,0.017374,0.237936,0.056613,1.040816,0.017374,0.222746,0.049616,9.62,-0.4854,0.2357,1.5,-0.25,0.0607,3,1.06,1.1327,-0.67766,0.459223,1.309146,1.713864,0.116817,0.013646,1
171,026-67717,4(2009-10),23-Mar-10,5:40,10:35,295,0,F,I,1,1Y,0.5,0.019571,0.000383,50,2,4,197,21,441,19.7,2.1,4.41,5.2,0.2521,0.063576,3.347826,0.524763,0.745325,0.555509,3.347826,0.524763,0.730135,0.533097,9.4,-0.7146,0.5106,2,0.25,0.0643,3,1.06,1.1327,1.101337,1.212944,0.931788,0.868229,1.787977,3.196862,0
172,026-67727,4(2009-10),24-Mar-10,5:40,6:57,77,0,F,L,2,A1Y,0.48,-0.000429,0,48,0,0,171,-5,25,17.1,-0.5,0.25,6.2,1.2521,1.567862,0.785714,-0.104735,0.115826,0.013416,0.785714,-0.104735,0.100637,0.010128,10.74,0.6314,0.3987,2,0.25,0.0643,4,2.06,4.2613,-1.558382,2.428554,-0.898005,0.806414,1.591427,2.532639,1
173,026-67752,4(2009-10),24-Mar-10,5:40,6:10,30,1,M,L,2,A1Y,0.52,0.039571,0.001566,52,4,16,172,-4,16,17.2,-0.4,0.16,4.7,-0.2479,0.061433,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,9.2,-0.9055,0.8198,1,-0.75,0.5572,3,1.06,1.1327,0.47626,0.226824,1.543861,2.383508,1.176689,1.384596,1
174,026-67772,4(2009-10),13-Mar-10,5:38,6:00,22,1,M,N,2,A1Y,0.52,0.039571,0.001566,52,4,16,168,-8,64,16.8,-0.8,0.64,4.6,-0.3479,0.121005,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,10.14,0.0293,0.0009,2,0.25,0.0643,2.5,0.56,0.3184,0.491441,0.241515,-0.062377,0.003891,0.300731,0.090439,1
175,026-72401,4(2009-10),11-Dec-09,4:54,5:43,49,1,M,pre,1,1Y,0.46,-0.020429,0.000417,46,-2,4,174,-2,4,17.4,-0.2,0.04,4.6,-0.3479,0.121005,0.862745,-0.064117,0.156444,0.024475,0.862745,-0.064117,0.141255,0.019953,9.06,-1.0452,1.0924,2,0.25,0.0643,0,-1.94,3.747,0.84576,0.71531,1.007357,1.014768,-1.671571,2.794149,0
176,026-72402,4(2009-10),6-Feb-10,5:26,7:08,102,0,F,L,1,1Y,0.44,-0.040429,0.001634,44,-4,16,158,-18,324,15.8,-1.8,3.24,4.8,-0.1479,0.021862,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,11.69,1.5792,2.4937,2,0.25,0.0643,2,0.06,0.0041,-1.854714,3.439964,-0.990518,0.981126,-0.918337,0.843343,1
178,026-72502,4(2009-10),19-Feb-10,5:31,5:51,20,0,F,L,1,AHY,0.48,-0.000429,0,48,0,0,162,-14,196,16.2,-1.4,1.96,5.3,0.3521,0.124005,0.315789,-0.500602,-0.280041,0.078423,0.315789,-0.500602,-0.29523,0.087161,11.08,0.9692,0.9394,1.5,-0.25,0.0607,3.5,1.56,2.447,-1.637508,2.681431,-0.87279,0.761762,0.683706,0.467453,0
