ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberFledged
373,026-49880,4(2009-10),15-Feb-10,5:30,6:34,64,0,F,I,A1Y,2,0.45,-0.029277,0.000857,45,-2.9,8.41,180,7.33,53.7483,18,0.7,0.49,9.01,-1.0497,1.1019,2,-0.11,0.0111,2,-0.11,0.0131,-0.308091,0.09492,-0.8377,0.701741,1
378,026-49886,4(2009-10),13-Dec-09,4:55,5:11,16,1,M,pre,A1Y,2,0.49,0.010723,0.000115,49,1.1,1.21,186,13.33,177.7242,18.6,1.3,1.69,9.07,-0.9853,0.9708,1,-1.11,1.222,2,-0.11,0.0131,-1.62271,2.633189,-1.231176,1.515795,3
379,026-59532,3(2008-09),18-Dec-08,5:57,7:12,75,0,F,pre,AHY,1,0.41,-0.069277,0.004799,41,-6.9,47.61,168,-4.67,21.7965,16.8,-0.5,0.25,8.79,-1.2707,1.6148,1.5,-0.61,0.3665,0,-2.11,4.4709,0.124038,0.015385,-3.057807,9.350185,3
380,026-59533,3(2008-09),30-Mar-09,5:41,5:44,3,0,F,I,1Y,1,0.505,0.025723,0.000662,50.5,2.6,6.76,190,17.33,300.3748,19,1.7,2.89,9.53,-0.5346,0.2858,2,-0.11,0.0111,1.5,-0.61,0.3776,-1.698251,2.884057,0.089433,0.007998,1
383,026-59926,4(2009-10),25-Mar-10,5:40,6:43,63,1,M,N,A1Y,2,0.46,-0.019277,0.000372,46,-1.9,3.61,161,-11.67,136.158,16.1,-1.2,1.44,10.72,0.6643,0.4412,2,-0.11,0.0111,2,-0.11,0.0131,1.109626,1.23127,-0.336923,0.113517,5
384,026-59955,4(2009-10),16-Mar-10,5:39,6:10,31,1,M,N,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,161,-11.67,136.158,16.1,-1.2,1.44,8.73,-1.3325,1.7756,2,-0.11,0.0111,0,-2.11,4.4709,-0.945953,0.894827,-1.781999,3.175519,3
385,026-59982,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,155,-17.67,312.1821,15.5,-1.8,3.24,9.12,-0.9399,0.8834,1,-1.11,1.222,1,-1.11,1.242,-0.538406,0.289881,-2.354949,5.545787,4
387,026-59984,4(2009-10),29-Dec-09,5:02,5:28,26,0,F,pre,1Y,1,0.44,-0.039277,0.001543,44,-3.9,15.21,159,-13.67,186.8327,15.9,-1.4,1.96,8.54,-1.5246,2.3245,1,-1.11,1.222,3.5,1.39,1.9197,0.699053,0.488675,-2.091039,4.372446,2
388,026-59986,4(2009-10),3-Mar-10,5:35,7:48,133,0,F,I,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,177,4.33,18.7604,17.7,0.4,0.16,9.98,-0.0785,0.0062,1,-1.11,1.222,3,0.89,0.7842,-0.714692,0.510785,-0.467221,0.218295,5
391,026-59995,4(2009-10),31-Mar-10,5:42,10:08,266,1,M,I,A1Y,2,0.54,0.060723,0.003687,54,6.1,37.21,194,21.33,455.0254,19.4,2.1,4.41,10.04,-0.0182,0.0003,2,-0.11,0.0111,3.5,1.39,1.9197,-1.715001,2.941227,1.685052,2.839399,1
392,026-60003,3(2008-09),21-Jan-09,6:17,7:10,53,0,F,L,1Y,1,0.45,-0.029277,0.000857,45,-2.9,8.41,156,-16.67,277.8447,15.6,-1.7,2.89,8.91,-1.1498,1.3221,2,-0.11,0.0111,1,-1.11,1.242,0.404057,0.163262,-1.867521,3.487636,3
397,026-60016,4(2009-10),2-Feb-10,5:23,7:20,117,1,M,B,A1Y,2,0.45,-0.029277,0.000857,45,-2.9,8.41,158,-14.67,215.17,15.8,-1.5,2.25,9.37,-0.6894,0.4753,1,-1.11,1.222,0.5,-1.61,2.6065,0.052676,0.002775,-2.847681,8.109285,2
