ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
72,026-33360,4(2009-10),04-Mar-10,5:36,10:48,312,0,N,A1Y,5,0.470,-0.009277,0.000086,47.0,-0.90,0.81,165,-7.67,58.8086,16.5,-0.80,0.6400,9.79,-0.2721,0.0740,1.0,-1.11,1.2220,3.5,1.39,1.9197,0.436136,0.190214,-0.989199,0.978514,0
74,026-33390,2(2007-08),13-Mar-08,6:38,6:29,-9,1,I,A1Y,3,0.475,-0.004277,0.000018,47.5,-0.40,0.16,177,4.33,18.7604,17.7,0.40,0.1600,9.41,-0.6461,0.4174,1.5,-0.61,0.3665,3.0,0.89,0.7842,-0.336336,0.113122,-0.518042,0.268367,1
77,026-33391,1(2006-07),17-Feb-07,6:30,8:50,140,1,I,A1Y,2,0.455,-0.024277,0.000589,45.5,-2.40,5.76,176,3.33,11.0977,17.6,0.30,0.0900,10.36,0.2970,0.0882,2.5,0.39,0.1557,1.0,-1.11,1.2420,0.251298,0.063151,-0.120083,0.014420,4
78,026-33548,1(2006-07),12-Jan-07,6:11,11:45,334,1,B,A1Y,2,0.520,0.040723,0.001658,52.0,4.10,16.81,180,7.33,53.7483,18.0,0.70,0.4900,10.66,0.5976,0.3572,2.0,-0.11,0.0111,1.5,-0.61,0.3776,-1.031964,1.064949,0.579724,0.336080,3
79,026-33548,2(2007-08),17-Feb-08,6:30,6:51,21,1,L,A1Y,3,0.485,0.005723,0.000033,48.5,0.60,0.36,172,-0.67,0.4471,17.2,-0.10,0.0100,10.31,0.2526,0.0638,2.0,-0.11,0.0111,3.0,0.89,0.7842,0.262759,0.069042,0.437532,0.191434,6
81,026-33568,2(2007-08),06-Feb-08,6:25,7:41,76,0,N,A1Y,2,0.470,-0.009277,0.000086,47.0,-0.90,0.81,158,-14.67,215.1700,15.8,-1.50,2.2500,8.13,-1.9263,3.7106,2.0,-0.11,0.0111,3.5,1.39,1.9197,0.320032,0.102420,-0.912120,0.831962,2
86,026-33750,3(2008-09),28-Feb-09,6:34,9:18,164,1,L,A1Y,3,0.475,-0.004277,0.000018,47.5,-0.40,0.16,164,-8.67,75.1459,16.4,-0.90,0.8100,9.55,-0.5063,0.2564,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-0.127329,0.016213,-1.072246,1.149713,1
88,026-33750,4(2009-10),06-Apr-10,5:43,6:10,27,1,L,A1Y,4,0.465,-0.014277,0.000204,46.5,-1.40,1.96,160,-12.67,160.4953,16.0,-1.30,1.6900,9.17,-0.8867,0.7862,2.0,-0.11,0.0111,0.0,-2.11,4.4709,-0.228354,0.052145,-1.886955,3.560598,1
92,026-33764,2(2007-08),02-Feb-08,6:23,9:24,181,0,I,A1Y,2,0.475,-0.004277,0.000018,47.5,-0.40,0.16,158,-14.67,215.1700,15.8,-1.50,2.2500,11.21,1.1528,1.3290,3.0,0.89,0.8003,4.0,1.89,3.5553,2.089971,4.367980,1.883781,3.548631,0
93,026-33764,3(2008-09),31-Mar-09,5:42,5:49,7,0,L,A1Y,3,0.450,-0.029277,0.000857,45.0,-2.90,8.41,153,-19.67,386.8568,15.3,-2.00,4.0000,11.64,1.5793,2.4941,1.5,-0.61,0.3665,1.0,-1.11,1.2420,1.606661,2.581360,-1.139951,1.299489,5
96,026-33764,4(2009-10),29-Apr-10,5:48,10:43,295,0,post,A1Y,4,0.480,0.000723,0.000001,48.0,0.10,0.01,180,7.33,53.7483,18.0,0.70,0.4900,10.64,0.5841,0.3412,2.0,-0.11,0.0111,2.0,-0.11,0.0131,-0.135990,0.018493,0.307533,0.094577,0
