PCV_percent_cntr,Hbdiv10cntr,SMIcntr,Musclecntr,Fatcntr
0.10,0.10,0.2970,-0.61,-1.11
-0.90,1.50,0.5929,0.39,0.89
0.10,-0.40,-0.4200,0.89,-1.11
-0.90,-0.90,-0.3909,-1.11,-1.11
-5.90,-3.00,1.3242,0.39,0.89
-5.90,-1.00,-0.3865,-0.11,1.89
2.60,0.00,0.1297,0.89,0.89
-3.90,-1.20,-0.0584,0.89,1.39
-1.90,-1.40,0.1384,0.39,1.39
4.10,0.20,-0.2902,0.39,0.39
2.10,-1.20,-0.2605,-0.11,-0.11
1.10,-0.50,0.0213,0.39,-0.11
0.10,0.00,-0.0785,0.39,0.39
-4.90,-2.10,-0.1962,0.89,1.89
-2.90,0.20,2.0539,-0.61,1.39
4.10,1.90,-0.5923,0.89,0.89
3.10,-0.10,-0.5346,-0.11,-2.11
0.10,-0.50,-0.6058,0.89,0.89
4.10,1.00,-0.8770,0.89,-0.11
-1.90,-2.90,0.9185,0.89,1.39
2.10,-0.50,-0.2781,0.89,0.89
-2.40,-0.50,0.5841,-0.11,-0.11
2.10,1.20,0.5884,-0.11,-0.11
2.10,1.20,-0.8103,-0.11,0.89
-2.90,-1.10,-0.3740,-0.11,-0.11
0.10,-1.00,-0.3362,-0.61,-1.11
0.10,0.80,0.5568,0.89,0.89
-1.90,0.20,0.1768,0.89,0.89
1.10,0.70,0.8146,0.39,-1.61
4.60,2.30,0.1517,-0.61,-2.11
2.10,2.10,0.3519,-0.11,-0.61
0.10,-0.60,-0.9931,-0.61,-1.11
1.60,-0.80,-1.5771,-0.11,0.39
4.60,0.10,-0.1487,0.89,-0.11
5.10,0.50,0.0308,-0.11,1.89
3.10,1.20,0.1903,-0.11,-0.11
-1.90,-0.30,1.1199,0.89,1.89
-0.90,0.40,0.5204,-0.11,-2.11
2.10,1.60,-0.7213,0.39,0.39
-3.90,-1.80,2.0264,0.89,0.89
2.10,0.60,0.1517,-0.11,0.39
4.10,0.10,0.6243,0.39,-0.61
3.10,0.70,-0.5328,-1.11,-2.11
6.10,2.60,-0.3489,0.89,-1.11
5.10,1.30,2.8773,0.39,0.89
1.60,0.90,0.2447,-0.11,-0.11
5.10,2.80,-0.4490,-0.61,-0.11
-0.90,0.30,-0.3196,-0.61,-0.11
-1.90,-0.30,-0.4082,-0.11,2.39
2.10,-0.30,-0.7981,-0.11,-0.11
2.10,0.50,-1.9284,0.39,0.39
0.10,0.60,0.7902,0.89,1.89
-6.90,-2.10,0.7902,0.39,1.89
0.10,-1.10,0.6333,0.89,-1.11
0.60,0.70,0.7618,-0.11,-2.11
3.10,0.30,-0.1594,0.89,1.89
1.60,-0.10,1.0210,0.89,0.89
-3.90,-1.20,0.9514,0.89,0.89
2.10,0.40,-0.9952,0.39,-0.61
-3.40,-2.10,-0.3362,0.39,-2.11
-6.90,-1.60,0.4633,-0.61,-0.11
-9.90,-3.30,1.8115,-0.61,1.39
4.60,1.40,-0.1282,0.89,-0.11
0.10,-0.50,-0.0577,0.39,-2.11
-0.40,-0.10,-0.2660,-0.11,1.39
