ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,BinomialFledged
376,026-49881,3(2008-09),19-Feb-09,6:31,8:43,132,0,F,L,1Y,1,0.46,-0.019277,0.000372,46,-1.9,3.61,175,2.33,5.4351,17.5,0.2,0.04,9.99,-0.0681,0.0046,2,-0.11,0.0111,4,1.89,3.5553,0.751659,0.564992,0.474649,0.225291,0
378,026-49886,4(2009-10),13-Dec-09,4:55,5:11,16,1,M,pre,A1Y,2,0.49,0.010723,0.000115,49,1.1,1.21,186,13.33,177.7242,18.6,1.3,1.69,9.07,-0.9853,0.9708,1,-1.11,1.222,2,-0.11,0.0131,-1.62271,2.633189,-1.231176,1.515795,1
379,026-59532,3(2008-09),18-Dec-08,5:57,7:12,75,0,F,pre,AHY,1,0.41,-0.069277,0.004799,41,-6.9,47.61,168,-4.67,21.7965,16.8,-0.5,0.25,8.79,-1.2707,1.6148,1.5,-0.61,0.3665,0,-2.11,4.4709,0.124038,0.015385,-3.057807,9.350185,1
380,026-59533,3(2008-09),30-Mar-09,5:41,5:44,3,0,F,I,1Y,1,0.505,0.025723,0.000662,50.5,2.6,6.76,190,17.33,300.3748,19,1.7,2.89,9.53,-0.5346,0.2858,2,-0.11,0.0111,1.5,-0.61,0.3776,-1.698251,2.884057,0.089433,0.007998,1
382,026-59911,4(2009-10),2-Apr-10,5:42,6:21,39,0,F,I,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,172,-0.67,0.4471,17.2,-0.1,0.01,8.86,-1.1966,1.4319,2,-0.11,0.0111,1,-1.11,1.242,-1.261852,1.59227,-0.921152,0.848522,0
383,026-59926,4(2009-10),25-Mar-10,5:40,6:43,63,1,M,N,A1Y,2,0.46,-0.019277,0.000372,46,-1.9,3.61,161,-11.67,136.158,16.1,-1.2,1.44,10.72,0.6643,0.4412,2,-0.11,0.0111,2,-0.11,0.0131,1.109626,1.23127,-0.336923,0.113517,1
384,026-59955,4(2009-10),16-Mar-10,5:39,6:10,31,1,M,N,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,161,-11.67,136.158,16.1,-1.2,1.44,8.73,-1.3325,1.7756,2,-0.11,0.0111,0,-2.11,4.4709,-0.945953,0.894827,-1.781999,3.175519,1
385,026-59982,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,155,-17.67,312.1821,15.5,-1.8,3.24,9.12,-0.9399,0.8834,1,-1.11,1.222,1,-1.11,1.242,-0.538406,0.289881,-2.354949,5.545787,1
387,026-59984,4(2009-10),29-Dec-09,5:02,5:28,26,0,F,pre,1Y,1,0.44,-0.039277,0.001543,44,-3.9,15.21,159,-13.67,186.8327,15.9,-1.4,1.96,8.54,-1.5246,2.3245,1,-1.11,1.222,3.5,1.39,1.9197,0.699053,0.488675,-2.091039,4.372446,1
388,026-59986,4(2009-10),3-Mar-10,5:35,7:48,133,0,F,I,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,177,4.33,18.7604,17.7,0.4,0.16,9.98,-0.0785,0.0062,1,-1.11,1.222,3,0.89,0.7842,-0.714692,0.510785,-0.467221,0.218295,1
390,026-59987,4(2009-10),3-Feb-10,5:24,9:00,216,0,F,B,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,184,11.33,128.3989,18.4,1.1,1.21,8.48,-1.5757,2.4829,2,-0.11,0.0111,3.5,1.39,1.9197,-1.037142,1.075664,0.104622,0.010946,0
391,026-59995,4(2009-10),31-Mar-10,5:42,10:08,266,1,M,I,A1Y,2,0.54,0.060723,0.003687,54,6.1,37.21,194,21.33,455.0254,19.4,2.1,4.41,10.04,-0.0182,0.0003,2,-0.11,0.0111,3.5,1.39,1.9197,-1.715001,2.941227,1.685052,2.839399,1
392,026-60003,3(2008-09),21-Jan-09,6:17,7:10,53,0,F,L,1Y,1,0.45,-0.029277,0.000857,45,-2.9,8.41,156,-16.67,277.8447,15.6,-1.7,2.89,8.91,-1.1498,1.3221,2,-0.11,0.0111,1,-1.11,1.242,0.404057,0.163262,-1.867521,3.487636,1
393,026-60004,2(2007-08),18-Mar-08,6:39,9:07,148,1,M,N,A1Y,2,0.475,-0.004277,0.000018,47.5,-0.4,0.16,163,-9.67,93.4833,16.3,-1,1,10.29,0.2286,0.0523,2,-0.11,0.0111,1,-1.11,1.242,0.248754,0.061879,-0.740775,0.548747,0
394,026-60004,3(2008-09),16-Jan-09,6:14,7:47,93,1,M,B,A1Y,3,0.44,-0.039277,0.001543,44,-3.9,15.21,174,1.33,1.7724,17.4,0.1,0.01,9.65,-0.4068,0.1655,2.5,0.39,0.1557,1,-1.11,1.242,0.303923,0.092369,-0.684997,0.46922,0
395,026-60005,3(2008-09),14-Apr-09,5:44,5:35,-9,1,M,L,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,179,6.33,40.0857,17.9,0.6,0.36,9.51,-0.548,0.3003,2,-0.11,0.0111,0,-2.11,4.4709,-1.190098,1.416332,-1.099544,1.208996,0
396,026-60016,3(2008-09),31-Mar-09,5:42,7:42,120,1,M,L,1Y,1,0.46,-0.019277,0.000372,46,-1.9,3.61,173,0.33,0.1098,17.3,0,0,9.37,-0.6894,0.4753,2,-0.11,0.0111,1,-1.11,1.242,-0.320673,0.102831,-1.127615,1.271515,0
397,026-60016,4(2009-10),2-Feb-10,5:23,7:20,117,1,M,B,A1Y,2,0.45,-0.029277,0.000857,45,-2.9,8.41,158,-14.67,215.17,15.8,-1.5,2.25,9.37,-0.6894,0.4753,1,-1.11,1.222,0.5,-1.61,2.6065,0.052676,0.002775,-2.847681,8.109285,1
399,026-60024,4(2009-10),19-Feb-10,5:31,5:32,1,0,F,N,A1Y,2,0.47,-0.009277,0.000086,47,-0.9,0.81,173,0.33,0.1098,17.3,0,0,9.48,-0.5776,0.3336,2,-0.11,0.0111,3,0.89,0.7842,0.126929,0.016111,-0.118048,0.013935,0
400,026-60039,3(2008-09),16-Jan-09,6:14,7:26,72,0,F,B,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,181,8.33,69.411,18.1,0.8,0.64,9.99,-0.0682,0.0046,2.5,0.39,0.1557,1,-1.11,1.242,-0.604918,0.365926,0.117642,0.01384,1
401,026-60039,4(2009-10),28-Apr-10,5:48,7:11,83,0,F,I,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,178,5.33,28.423,17.8,0.5,0.25,9.72,-0.3362,0.113,2,-0.11,0.0111,1.5,-0.61,0.3776,-0.799996,0.639994,-0.274353,0.07527,1
404,026-60046,3(2008-09),15-Apr-09,5:45,6:09,24,1,M,N,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,163,-9.67,93.4833,16.3,-1,1,9.36,-0.7006,0.4909,1.5,-0.61,0.3665,1,-1.11,1.242,-0.42865,0.183741,-1.6503,2.723489,1
405,026-60049,2(2007-08),15-Apr-08,5:45,7:26,101,0,F,N,A1Y,2,0.54,0.060723,0.003687,54,6.1,37.21,187,14.33,205.3869,18.7,1.4,1.96,8.85,-1.2097,1.4635,2.5,0.39,0.1557,1.5,-0.61,0.3776,-2.370595,5.619723,0.628636,0.395184,1
406,026-60050,2(2007-08),15-Apr-08,5:45,7:26,101,1,M,N,A1Y,2,0.47,-0.009277,0.000086,47,-0.9,0.81,165,-7.67,58.8086,16.5,-0.8,0.64,10.19,0.1273,0.0162,3,0.89,0.8003,0,-2.11,4.4709,0.242444,0.058779,-0.180338,0.032522,1
407,026-60055,2(2007-08),28-Apr-08,5:48,10:40,292,0,F,post,1Y,1,0.51,0.030723,0.000944,51,3.1,9.61,168,-4.67,21.7965,16.8,-0.5,0.25,9.77,-0.2902,0.0842,2,-0.11,0.0111,1,-1.11,1.242,-0.865817,0.749639,-0.458513,0.210234,0
408,026-60055,3(2008-09),11-Mar-09,6:37,7:14,37,0,F,L,A1Y,2,0.5,0.020723,0.000429,50,2.1,4.41,167,-5.67,32.1339,16.7,-0.6,0.36,10.41,0.3519,0.1238,1.5,-0.61,0.3665,0,-2.11,4.4709,-0.798548,0.637679,-1.229119,1.510733,0
411,026-60055,4(2009-10),19-Dec-09,4:57,6:55,118,0,F,pre,A1Y,3,0.46,-0.019277,0.000372,46,-1.9,3.61,177,4.33,18.7604,17.7,0.4,0.16,9.12,-0.9399,0.8834,1.5,-0.61,0.3665,2,-0.11,0.0131,-0.478816,0.229265,-1.256444,1.57865,1
412,026-60077,3(2008-09),20-Jan-09,6:16,8:42,146,1,M,B,1Y,1,0.515,0.035723,0.001276,51.5,3.6,12.96,194,21.33,455.0254,19.4,2.1,4.41,8.93,-1.13,1.2769,1.5,-0.61,0.3665,1,-1.11,1.242,-2.640712,6.973359,-0.714888,0.511065,0
414,026-60147,4(2009-10),28-Apr-10,5:48,6:09,21,1,M,post,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,169,-3.67,13.4592,16.9,-0.4,0.16,10.27,0.2065,0.0427,2,-0.11,0.0111,2,-0.11,0.0131,0.174688,0.030516,-0.1329,0.017662,0
415,026-60325,4(2009-10),27-Apr-10,5:47,8:20,153,1,M,post,A1Y,2,0.51,0.030723,0.000944,51,3.1,9.61,186,13.33,177.7242,18.6,1.3,1.69,9.92,-0.1378,0.019,2,-0.11,0.0111,1,-1.11,1.242,-1.584692,2.511247,0.03738,0.001397,0
416,026-60369,4(2009-10),4-May-10,5:49,7:40,111,0,F,post,A1Y,2,0.56,0.080723,0.006516,56,8.1,65.61,202,29.33,860.3266,20.2,2.9,8.41,10.67,0.6127,0.3754,2,-0.11,0.0111,2,-0.11,0.0131,-2.597094,6.744898,1.787243,3.194238,0
417,026-65155,3(2008-09),14-Apr-09,5:44,5:46,2,0,F,L,1Y,1,0.4,-0.079277,0.006285,40,-7.9,62.41,151,-21.67,469.5315,15.1,-2.2,4.84,11.38,1.3189,1.7395,1.5,-0.61,0.3665,2.5,0.39,0.1486,2.96039,8.76391,-1.278603,1.634826,0
418,026-65229,3(2008-09),21-Apr-09,5:46,8:18,152,0,F,N,1Y,1,0.54,0.060723,0.003687,54,6.1,37.21,198,25.33,641.676,19.8,2.5,6.25,10.07,0.011,0.0001,1,-1.11,1.222,2,-0.11,0.0131,-2.641872,6.979487,0.125133,0.015658,1
419,026-65242,3(2008-09),21-Apr-09,5:46,5:43,-3,1,M,N,1Y,1,0.57,0.090723,0.008231,57,9.1,82.81,211,38.33,1469.2905,21.1,3.8,14.44,9.5,-0.5635,0.3176,2,-0.11,0.0111,1,-1.11,1.242,-4.004729,16.037856,1.130618,1.278297,1
420,026-65243,3(2008-09),16-Apr-09,5:45,8:32,167,1,M,N,1Y,1,0.47,-0.009277,0.000086,47,-0.9,0.81,183,10.33,106.7363,18.3,1,1,9.11,-0.9496,0.9017,1.5,-0.61,0.3665,0,-2.11,4.4709,-1.520641,2.31235,-1.838495,3.380063,1
421,026-65320,4(2009-10),27-Mar-10,5:41,8:26,165,1,M,L,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,172,-0.67,0.4471,17.2,-0.1,0.01,9.61,-0.449,0.2016,2,-0.11,0.0111,0,-2.11,4.4709,-0.838968,0.703867,-1.215953,1.478542,1
423,026-67701,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,155,-17.67,312.1821,15.5,-1.8,3.24,9.62,-0.4354,0.1896,1.5,-0.61,0.3665,3,0.89,0.7842,0.627345,0.393562,-0.873051,0.762218,1
424,026-67717,4(2009-10),23-Mar-10,5:40,10:35,295,0,F,I,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,197,24.33,592.0134,19.7,2.4,5.76,9.4,-0.6646,0.4417,2,-0.11,0.0111,3,0.89,0.7842,-1.529491,2.339343,0.759148,0.576305,0
425,026-67727,4(2009-10),24-Mar-10,5:40,6:57,77,0,F,L,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,171,-1.67,2.7845,17.1,-0.2,0.04,10.74,0.6814,0.4644,2,-0.11,0.0111,4,1.89,3.5553,0.887847,0.788272,0.980232,0.960854,1
426,026-67752,4(2009-10),24-Mar-10,5:40,6:10,30,1,M,L,A1Y,2,0.52,0.040723,0.001658,52,4.1,16.81,172,-0.67,0.4471,17.2,-0.1,0.01,9.2,-0.8555,0.7318,1,-1.11,1.222,3,0.89,0.7842,-1.225012,1.500656,-0.722346,0.521784,1
427,026-67772,4(2009-10),13-Mar-10,5:38,6:00,22,1,M,N,A1Y,2,0.52,0.040723,0.001658,52,4.1,16.81,168,-4.67,21.7965,16.8,-0.5,0.25,10.14,0.0793,0.0063,2,-0.11,0.0111,2.5,0.39,0.1486,-0.448171,0.200857,0.466302,0.217437,1
428,026-72401,4(2009-10),11-Dec-09,4:54,5:43,49,1,M,pre,1Y,1,0.46,-0.019277,0.000372,46,-1.9,3.61,174,1.33,1.7724,17.4,0.1,0.01,9.06,-0.9952,0.9904,2,-0.11,0.0111,0,-2.11,4.4709,-0.795693,0.633127,-1.67027,2.789803,0
